Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,135.585999,136.520004,134.337006,135.565002,135.565002,0
2020-03-12,134.098999,134.210007,131.354004,133.992004,133.992004,0
2020-03-13,131.587997,134.292999,131.235992,131.462006,131.462006,0
2020-03-16,132.136002,132.494003,128.893005,132.253998,132.253998,0
2020-03-17,130.332993,131.112000,128.653000,130.205994,130.205994,0
2020-03-18,130.031998,130.266006,127.067001,130.130005,130.130005,0
2020-03-19,125.864998,129.500000,124.930000,125.961998,125.961998,0
2020-03-20,127.880997,131.949005,127.505997,127.862999,127.862999,0
2020-03-23,128.070007,129.074005,127.412003,128.350006,128.350006,0
2020-03-24,128.531006,131.386002,128.018997,128.462997,128.462997,0
2020-03-25,130.994995,133.358002,129.916000,131.003998,131.003998,0
2020-03-26,131.279007,132.865997,130.626999,131.365005,131.365005,0
2020-03-27,133.046997,133.679993,132.125000,133.063995,133.063995,0
2020-03-30,133.768005,134.371994,132.751007,133.725998,133.725998,0
2020-03-31,133.582993,134.539001,133.231995,133.636002,133.636002,0
2020-04-01,133.320999,133.546997,132.615005,133.352997,133.352997,0
2020-04-02,132.796997,133.835007,132.563995,132.787994,132.787994,0
2020-04-03,133.858994,133.910995,132.550003,133.830994,133.830994,0
2020-04-06,132.774994,134.481995,132.774994,132.778000,132.778000,0
2020-04-07,133.408005,134.938995,133.110001,133.528000,133.528000,0
2020-04-08,134.014999,134.996002,133.725006,134.037003,134.037003,0
2020-04-09,134.914001,135.723999,134.645996,134.934998,134.934998,0
2020-04-10,135.169998,135.386002,134.979996,135.130005,135.130005,0
2020-04-13,134.979996,135.117004,134.498001,134.970001,134.970001,0
2020-04-14,134.740005,135.393005,134.569000,134.761993,134.761993,0
2020-04-15,135.171005,135.253998,133.666000,135.212006,135.212006,0
2020-04-16,134.716995,134.845001,133.718994,134.718002,134.718002,0
2020-04-17,134.759995,134.828003,133.884995,134.770004,134.770004,0
2020-04-20,134.462006,134.690994,133.860001,134.429001,134.429001,0
2020-04-21,133.944000,134.022995,131.959000,133.942993,133.942993,0
2020-04-22,132.509995,133.278000,132.048004,132.472000,132.472000,0
2020-04-23,132.830002,133.647995,132.401001,132.841003,132.841003,0
2020-04-24,132.964005,133.102997,132.380005,132.966003,132.966003,0
2020-04-27,132.951996,133.522995,132.908997,132.925995,132.925995,0
2020-04-28,133.253998,133.537003,132.828995,133.257996,133.257996,0
2020-04-29,132.716003,132.992996,131.940002,132.733002,132.733002,0
2020-04-30,132.899994,135.061996,132.669998,132.944000,132.944000,0
2020-05-01,134.981995,135.039993,133.447998,134.949005,134.949005,0
2020-05-04,132.962997,133.149002,132.518005,132.914993,132.914993,0
2020-05-05,132.781998,133.098007,132.544006,132.763000,132.763000,0
2020-05-06,132.438995,132.438995,130.845993,132.449997,132.449997,0
2020-05-07,130.906006,131.966995,130.770004,130.848999,130.848999,0
2020-05-08,131.608994,132.654007,131.539993,131.615997,131.615997,0
2020-05-11,132.723007,133.167999,131.884003,132.729996,132.729996,0
2020-05-12,132.667007,132.850998,131.945007,132.630997,132.630997,0
2020-05-13,131.302994,131.904999,130.660995,131.272995,131.272995,0
2020-05-14,130.832001,130.860992,130.139999,130.880997,130.880997,0
2020-05-15,131.324997,131.404007,129.985992,131.320007,131.320007,0
2020-05-18,129.580994,131.240005,129.533997,129.552994,129.552994,0
2020-05-19,130.979996,132.367996,130.778000,130.970001,130.970001,0
2020-05-20,132.151993,132.408005,131.559998,132.113998,132.113998,0
2020-05-21,131.610992,131.934006,131.212997,131.630005,131.630005,0
2020-05-22,131.578003,131.759995,130.671005,131.542999,131.542999,0
2020-05-25,131.283997,131.401993,130.998001,131.270004,131.270004,0
2020-05-26,131.373993,133.024002,131.369995,131.378006,131.378006,0
2020-05-27,132.556000,132.934998,131.667007,132.550995,132.550995,0
2020-05-28,132.182007,132.727005,131.841995,132.197998,132.197998,0
2020-05-29,132.572006,133.412003,131.809006,132.613998,132.613998,0
2020-06-01,132.960999,134.255005,132.936005,132.949997,132.949997,0
2020-06-02,134.294998,136.492996,134.281006,134.279999,134.279999,0
2020-06-03,136.865005,137.350006,136.266998,136.850006,136.850006,0
2020-06-04,137.011993,137.625000,135.951996,137.039993,137.039993,0
2020-06-05,137.507004,139.688004,137.276001,137.608002,137.608002,0
2020-06-08,139.309006,139.356995,137.600998,139.490005,139.490005,0
2020-06-09,137.977997,138.147003,136.238007,138.048004,138.048004,0
2020-06-10,137.035004,137.382996,136.630005,137.001007,137.001007,0
2020-06-11,136.046005,136.399994,134.673996,135.959000,135.959000,0
2020-06-12,134.311996,136.026001,133.787994,134.289993,134.289993,0
2020-06-15,134.248993,135.042007,133.494003,134.220001,134.220001,0
2020-06-16,135.796997,136.320007,134.824997,135.770004,135.770004,0
2020-06-17,135.108994,135.121994,134.093002,135.145004,135.145004,0
2020-06-18,134.110001,134.317993,132.466995,134.162003,134.162003,0
2020-06-19,132.919998,133.182999,132.110001,132.940002,132.940002,0
2020-06-22,131.852997,133.082001,131.779999,131.899002,131.899002,0
2020-06-23,133.584000,133.957001,132.615997,133.623993,133.623993,0
2020-06-24,133.294006,133.597000,132.697006,133.287994,133.287994,0
2020-06-25,132.860992,133.580002,132.809006,132.854004,132.854004,0
2020-06-26,133.089996,133.231995,132.919998,133.070999,133.070999,0
